Perfil,Coord_X,Coord_Y,Lim_sup,Lim_inf,Da,CO_g
CG2-P181,527773,9873340,21,30,1.5,12.18
CG2-P182,546599,9877270,21,30,1.32,35.96
CG2-P183,526246,9873974,21,30,1.23,21.46
CG2-P184,546188,9877087,0,30,1.51,11.02
CG2-P185,542116,9883316,0,30,1.12,11.02
CG2-P186,532520,9884434,11,20,1.45,17.4
CG2-P187,528194,9863589,0,30,1.51,10.44
CG2-P188,525967,9872869,21,30,1.33,34.22
CG2-P189,527479,9862459,0,30,1,35.96
CG2-P190,521553,9865944,0,30,1,32.48
CG2-P191,546142,9874682,21,30,1.04,23.78
CG2-P192,530434,9860681,21,30,1.24,9.28
CG2-P193,545761,9874725,21,30,1.59,2.32
CG2-P194,527809,9860007,21,30,1.04,25.52
CG2-P195,546929,9874682,21,30,1.59,2.32
CG2-P196,520719,9866360,21,30,1.37,12.18
CG2-P197,531177,9866415,21,30,1.17,14.5
CG2-P198,526801,9859954,21,30,1.33,28.42
CG2-P199,529774,9866351,0,30,0.97,15.66
CG2-P200,515499,9873184,21,30,1.52,9.28
CG2-P201,529767,9866235,11,20,1.48,14.5
CG2-P202,516269,9872662,0,30,1.31,38.28
CG2-P203,613333,9761934,21,30,1.2,55.1
CG2-P204,604785,9738924,21,30,1.39,26.1
CG2-P205,603709,9738481,21,30,1.44,19.14
CG2-P206,594117,9752295,21,30,1.46,16.24
CG2-P207,597455,9750836,21,30,1.43,20.3
CG2-P208,595160,9757263,21,30,1.14,16.24
CG2-P209,598413,9763146,11,20,1.28,42.34
CG2-P210,599055,9763491,0,30,1.34,33.06
CG2-P211,613139,9763654,0,30,1.01,19.14
CG2-P212,514612,9746383,21,30,1.56,5.22
CG2-P213,513314,9747488,0,30,1.56,5.8
CG2-P214,511224,9748990,0,30,1.59,5.8
CG2-P215,510823,9749946,11,20,1.54,7.54
CG2-P216,509383,9750150,21,30,1.51,10.44
CG2-P217,509382,9749300,11,20,1.52,9.86
CG2-P218,606600,9765613,0,30,1.09,27.84
CG2-P219,609307,9764486,21,30,1.32,35.96
CG2-P220,610432,9765688,0,10,1.35,31.9
CG2-P221,610717,9777486,21,30,1.35,31.9
CG2-P222,610509,9778136,21,30,1.45,17.4
CG2-P223,610482,9780150,0,30,1.51,11.02
CG2-P224,591501,9749358,11,20,1.46,11.02
CG2-P225,585993,9762879,21,30,1.37,27.84
CG2-P226,586163,9762866,21,30,1.39,26.1
CG2-P227,590901,9762421,21,30,1.42,22.04
CG2-P228,591571,9762337,11,20,0.95,23.78
CG2-P229,640796,9668818,21,30,1.41,4.06
CG2-P230,581960,9700892,21,30,1.49,12.76
CG2-P231,580879,9732997,0,30,1.45,0.58
CG2-P232,580401,9731062,11,20,1.49,13.34
CG2-P233,564770,9734322,21,30,1.54,7.54
CG2-P234,565896,9733365,21,30,1.49,13.34
CG2-P235,570730,9715468,11,20,1.52,9.86
CG2-P236,570598,9715402,21,30,1.59,2.32
CG2-P237,574874,9714907,0,10,1.56,5.22
CG2-P238,576265,9715467,21,30,1.59,2.32
CG3-P016,656960,9783309,0,30,1.12,19.61
CG3-P017,656427,9779746,0,30,1.39,13.86
CG3-P019,621136,9818460,11,20,0.86,17.98
CG3-P020,623246,9824485,11,20,1.51,11.02
CG3-P021,623186,9824554,0,10,1.59,2.32
CG3-P022,626206,9827059,0,18,1.51,11.02
CG3-P023,625846,9826292,0,18,1.4,23.78
CG3-P025,622317,9809883,11,20,1.4,24.94
CG3-P026,614481,9811459,11,20,1.34,32.48
